"UNICODE","FECHA","INSP_COMPLETA"
"29.29.104.832","12/26/13",1
"29.29.104.831","12/26/13",1
"29.29.104.830","12/26/13",NA
"29.29.104.828","12/26/13",1
"29.29.104.608","2/19/14",1
"29.29.104.610","2/19/14",NA
"29.29.104.611","2/19/14",1
"29.29.104.612","2/19/14",1
"29.29.104.614","2/19/14",1
"29.29.104.615","2/19/14",1
"29.29.104.616","2/19/14",1
"29.29.104.617","2/19/14",1
"29.29.104.618","2/19/14",1
"29.29.104.563","2/12/14",1
"29.29.104.562","2/12/14",1
"29.29.104.561","2/12/14",1
"29.29.104.560","2/12/14",1
"29.29.104.559","2/12/14",1
"29.29.104.592","2/12/14",NA
"29.29.104.598","2/12/14",1
"29.29.104.597","2/12/14",NA
"29.29.104.596","2/12/14",NA
"29.29.104.595","2/12/14",NA
"29.29.104.574","2/26/14",1
"29.29.104.572","2/26/14",1
"29.29.104.570","2/26/14",1
"29.29.104.569","2/26/14",1
"29.29.104.565","2/26/14",1
"29.29.104.564","2/26/14",NA
"29.29.104.599","2/26/14",1
"29.29.104.600","2/26/14",NA
"29.29.104.601","2/26/14",NA
"29.29.104.606","2/26/14",1
"29.29.104.439","3/5/14",1
"29.29.104.438","3/5/14",1
"29.29.104.437","3/5/14",1
"29.29.104.458","3/5/14",1
"29.29.104.457","3/5/14",1
"29.29.104.455","3/5/14",1
"29.29.104.454","3/5/14",1
"29.29.104.449","3/6/14",1
"29.29.104.447","3/6/14",1
"29.29.104.446","3/6/14",1
"29.29.104.445","3/6/14",1
"29.29.104.444","3/6/14",1
"29.29.104.443","3/6/14",1
"29.29.104.442","3/6/14",1
"29.29.104.441","3/6/14",1
"29.29.104.440","3/6/14",1
"29.29.104.240","3/12/14",1
"29.29.104.241","3/12/14",1
"29.29.104.244","3/12/14",1
"29.29.104.245","3/12/14",1
"29.29.104.246","3/12/14",1
"29.29.104.247","3/12/14",1
"29.29.104.248","3/12/14",1
"29.29.104.249","3/12/14",1
"29.29.104.250","3/12/14",1
"29.29.104.251","3/12/14",1
"29.29.104.252","3/13/14",NA
"29.29.104.253","3/13/14",1
"29.29.104.255","3/13/14",1
"29.29.104.256","3/13/14",1
"29.29.104.239","3/13/14",1
"29.29.104.238","3/13/14",1
"29.29.104.236","3/13/14",1
"29.29.104.235","3/13/14",1
"29.29.104.233","3/13/14",1
"29.29.104.230","3/13/14",1
"29.29.104.273","3/19/14",1
"29.29.104.274","3/19/14",1
"29.29.104.275","3/19/14",1
"29.29.104.276","3/19/14",NA
"29.29.104.277","3/19/14",1
"29.29.104.278","3/19/14",1
"29.29.104.279","3/19/14",NA
"29.29.104.280","3/19/14",1
"29.29.104.281","3/19/14",1
"29.29.104.283","3/19/14",1
"29.29.104.284","3/20/14",1
"29.29.104.285","3/20/14",NA
"29.29.104.286","3/20/14",1
"29.29.104.287","3/20/14",1
"29.29.104.257","3/20/14",NA
"29.29.104.258","3/20/14",1
"29.29.104.260","3/20/14",1
"29.29.104.261","3/20/14",1
"29.29.104.263","3/20/14",NA
"29.29.104.264","3/20/14",1
"29.29.104.92","4/3/14",1
"29.29.104.91","4/3/14",1
"29.29.104.91A","4/3/14",NA
"29.29.104.91B","4/3/14",1
"29.29.104.90","4/3/14",NA
"29.29.104.91C","4/3/14",NA
"29.29.104.79","4/3/14",1
"29.29.104.81","4/3/14",1
"29.29.104.82","4/3/14",NA
"29.29.104.83","4/3/14",1
"29.29.104.102","4/9/14",NA
"29.29.104.101","4/9/14",1
"29.29.104.100","4/9/14",NA
"29.29.104.99","4/9/14",1
"29.29.104.98","4/9/14",1
"29.29.104.97","4/9/14",1
"29.29.104.96","4/9/14",1
"29.29.104.94","4/9/14",1
"29.29.104.93","4/9/14",1
"29.29.104.92A","4/9/14",1
"29.29.104.84","4/16/14",NA
"29.29.104.88","4/16/14",NA
"29.29.104.89","4/16/14",NA
"29.29.104.69","4/16/14",1
"29.29.104.70","4/16/14",1
"29.29.104.71","4/16/14",NA
"29.29.104.72","4/16/14",1
"29.29.104.74","4/16/14",1
"29.29.104.73","4/16/14",1
"29.29.104.250","5/7/14",1
"29.29.104.247","5/7/14",1
"29.29.104.244","5/7/14",1
"29.29.104.242","5/7/14",1
"29.29.104.241","5/7/14",1
"29.29.104.273","5/7/14",1
"29.29.104.274","5/7/14",1
"29.29.104.275","5/7/14",1
"29.29.104.291","5/7/14",1
"29.29.104.292","5/7/14",NA
"29.29.104.288","5/10/14",NA
"29.29.104.290","5/10/14",1
"29.29.104.287","5/10/14",1
"29.29.104.286","5/10/14",1
"29.29.104.285","5/10/14",1
"29.29.104.284","5/10/14",1
"29.29.104.280","5/10/14",1
"29.29.104.281","5/10/14",1
"29.29.104.277","5/10/14",1
"29.29.104.276","5/10/14",1
"29.29.104.630","2//2015",1
"29.29.104.626","2//2015",1
"29.29.104.622","2//2015",1
"29.29.104.633","2//2015",1
"29.29.104.638","2//2015",1
"29.29.104.87","2//2015",1
"29.29.104.117","2//2015",NA
"29.29.104.116","2//2015",NA
"29.29.104.115","2//2015",1
"29.29.104.114","2//2015",NA
"29.29.104.123","2//2015",1
"29.29.104.112","2//2015",1
"29.29.104.111","2//2015",1
"29.29.104.110","2//2015",1
"29.29.104.288","5//2015",1
"29.29.104.270","5//2015",1
"29.29.104.287","5//2015",1
"29.29.104.286","5//2015",1
"29.29.104.276","5//2015",1
"29.29.104.277","5//2015",1
"29.29.104.281","5//2015",1
"29.29.104.280","5//2015",1
"29.29.104.284","5//2015",1
"29.29.104.285","5//2015",1
"29.29.104.250","5//2015",1
"29.29.104.247","5//2015",1
"29.29.104.244","5//2015",1
"29.29.104.242","5//2015",1
"29.29.104.241","5//2015",1
"29.29.104.273","5//2015",1
"29.29.104.274","5//2015",1
"29.29.104.275","5//2015",1
"29.29.104.291","5//2015",1
"29.29.104.292","5//2015",1
"29.29.104.92A","6//2015",NA
"29.29.104.93","6//2015",1
"29.29.104.94","6//2015",1
"29.29.104.96","6//2015",1
"29.29.104.97","6//2015",1
"29.29.104.98","6//2015",1
"29.29.104.99","6//2015",1
"29.29.104.100","6//2015",1
"29.29.104.101","6//2015",1
"29.29.104.102","6//2015",1
"29.29.104.92B","6//2015",1
"29.29.104.91","6//2015",1
"29.29.104.91A","6//2015",1
"29.29.104.91B","6//2015",1
"29.29.104.90","6//2015",1
"29.29.104.91C","6//2015",1
"29.29.104.79","6//2015",1
"29.29.104.81","6//2015",1
"29.29.104.82","6//2015",1
"29.29.104.83","6//2015",1
"29.29.104.284","7//2015",1
"29.29.104.285","7//2015",1
"29.29.104.286","7//2015",1
"29.29.104.287","7//2015",1
"29.29.104.257","7//2015",1
"29.29.104.258","7//2015",1
"29.29.104.260","7//2015",1
"29.29.104.261","7//2015",1
"29.29.104.263","7//2015",NA
"29.29.104.264","7//2015",1
"29.29.104.273","7//2015",1
"29.29.104.274","7//2015",1
"29.29.104.275","7//2015",1
